process_id,process_name,process_category,department,step_id,step_order,step_name,owner_role,system_used,monthly_volume,manual_time_minutes_per_case,waiting_time_hours_per_case,error_rate,rework_time_minutes_per_error,cost_per_hour_usd,automation_feasibility,automation_complexity,automation_time_reduction_pct,automation_error_reduction_pct,automation_waiting_time_reduction_pct,automation_setup_cost_usd,data_generated_at,manual_hours_before,rework_hours_before,total_labor_hours_before,labor_cost_before_usd,waiting_hours_total,expected_rework_time_per_case_hours,cycle_time_before_per_case_hours,normalized_labor_cost,normalized_waiting_hours,normalized_rework_hours,normalized_error_rate,bottleneck_score,bottleneck_rank,bottleneck_severity,manual_time_minutes_after,error_rate_after,waiting_time_hours_after,manual_hours_after,rework_hours_after,total_labor_hours_after,labor_cost_after_usd,waiting_hours_after_total,expected_rework_time_after_per_case_hours,cycle_time_after_per_case_hours,monthly_labor_hours_saved,annual_labor_hours_saved,monthly_labor_cost_savings_usd,annual_labor_cost_savings_usd,monthly_waiting_hours_reduced,annual_waiting_hours_reduced,cycle_time_reduction_hours_per_case,cycle_time_reduction_pct,annual_net_benefit_usd,roi_pct,payback_months,roi_classification
P003,Customer Support Ticket Resolution,Customer Service,Support,P003-S03,3,Escalation Review,Support Lead,CRM,1150,24,12.0,0.037,27,17.22,Medium,Medium,0.3532,0.3748,0.3712,9225.0,2026-07-08 17:38:06,460.0,19.1475,479.1475,8250.91995,13800.0,0.01665,12.41665,1.0,0.4435677694559112,0.5735305845761224,0.0884735202492211,0.611047475789381,1,High,15.523200000000001,0.023132399999999997,7.5456,297.528,11.971016999999998,309.49901700000004,5329.5730727400005,8677.44,0.01040958,7.814729580000001,169.64848299999994,2035.7817959999993,2921.346877259999,35056.16252711999,5122.5599999999995,61470.719999999994,4.60192042,0.3706249608388736,25831.16252711999,280.01260191999984,3.157790015218031,Strong Business Case
P002,Purchase Requisition Review,Procurement,Supply Chain,P002-S04,4,Approval Routing,Purchasing Manager,Email / ERP,326,19,91.44,0.0624,34,30.87,Medium,Medium,0.3407,0.3388,0.3175,7989.0,2026-07-08 17:38:06,103.23333333333332,11.527359999999998,114.76069333333334,3542.6626032000004,29809.44,0.0353599999999999,91.79202666666666,0.3737086542336704,1.0,0.3304445330568625,0.2467289719626168,0.5338962813875496,2,High,12.5267,0.04125888,62.407799999999995,68.06173666666668,7.621890432,75.68362709866668,2336.35356853584,20344.942799999997,0.023380032,62.63995836533333,39.07706623466666,468.9247948159999,1206.3090346641602,14475.708415969922,9464.497200000002,113573.96640000002,29.15206830133333,0.31758824115732925,6486.7084159699225,81.19549901076383,6.6226810630031965,Moderate Business Case
P003,Customer Support Ticket Resolution,Customer Service,Support,P003-S02,2,Initial Response,Support Agent,CRM / Email,1150,9,2.66,0.1131,15,17.22,High,Low,0.6073,0.508,0.4446,3075.0,2026-07-08 17:38:06,172.5,32.51625,205.01625,3530.379825,3059.0,0.028275,2.838275,0.3720748018076011,0.0702481162841539,1.0,0.5626168224299066,0.4356931388823926,3,Medium,3.5343000000000004,0.0556452,1.4773640000000001,67.74075,15.997995,83.73874500000001,1441.9811889,1698.9686000000002,0.0139113,1.5501803,121.277505,1455.33006,2088.3986360999997,25060.783633199997,1360.0313999999998,16320.376799999998,1.2880946999999998,0.45383012569254205,21985.783633199997,714.9848335999999,1.4724200384187371,Strong Business Case
P002,Purchase Requisition Review,Procurement,Supply Chain,P002-S03,3,Supplier Review,Buyer,ERP / Supplier Portal,326,27,25.34,0.0781,31,30.87,Medium,Medium,0.5463,0.4638,0.3666,7989.0,2026-07-08 17:38:06,146.7,13.154643333333333,159.8546433333333,4934.7128397,8260.84,0.0403516666666666,25.830351666666665,0.5588788672817033,0.2510459102190737,0.3823556370789802,0.3445482866043614,0.3990747470207685,4,Medium,12.2499,0.04187722,16.050356,66.55779,7.053519755333332,73.61130975533332,2272.38113214714,5232.416056,0.021636563666666667,16.27615756366667,86.24333357799999,1034.920002936,2662.33170755286,31947.98049063432,3028.423944,36341.087328,9.554194102999997,0.3698824633243152,23958.98049063432,299.8996181078272,3.000753053173552,Strong Business Case
P001,Invoice Approval,Finance,Accounts Payable,P001-S02,2,Data Validation,AP Analyst,Excel / ERP,414,16,28.05,0.0991,28,18.35,High,Medium,0.6047,0.6263,0.358,8121.0,2026-07-08 17:38:06,110.4,19.14612,129.54612,2377.171302,11612.7,0.0462466666666666,28.36291333333333,0.2186752604019578,0.3675448593560523,0.5734865619267885,0.4753894080996885,0.3728055225478118,5,Medium,6.3248,0.03703367,18.008100000000002,43.64112,7.154905044,50.796025044000004,932.1070595574001,7455.353400000001,0.01728237933333333,18.13079571266667,78.750094956,945.001139472,1445.0642424426,17340.7709093112,4157.3466,49888.159199999995,10.23211762066666,0.3607569328444631,9219.770909311199,113.52999518915404,5.619819355763055,Moderate Business Case
P005,Document Control Renewal,Compliance,Quality,P005-S03,3,Revision Validation,Quality Analyst,QMS,209,29,41.24,0.0593,56,38.43,Medium,Medium,0.5323,0.4697,0.3579,7813.5,2026-07-08 17:38:06,101.01666666666668,11.567453333333331,112.58412,4326.6077316,8619.16,0.0553466666666666,41.77868,0.4779888609658472,0.2634998621904454,0.3317235292553898,0.2274143302180685,0.3468029153789684,6,Medium,13.5633,0.03144679,26.480204,47.245495,6.134220502666667,53.37971550266666,2051.38246676748,5534.362636,0.029350337333333334,26.735609337333333,59.204404497333336,710.452853968,2275.22526483252,27302.703177990243,3084.797364,37017.568368,15.043070662666668,0.36006572401681114,19489.203177990243,249.42987365444736,3.43416545199763,Strong Business Case
P006,Sales Order Entry,Sales Operations,Sales,P006-S03,3,Pricing Validation,Sales Analyst,Excel / ERP,381,29,17.2,0.0532,17,25.58,Medium,Medium,0.362,0.266,0.1553,8071.5,2026-07-08 17:38:06,184.15,5.74294,189.89294,4857.4614052,6553.2,0.0150733333333333,17.698406666666667,0.5486028986352003,0.1916943067797087,0.1459188133024962,0.1894080996884735,0.3071142841700029,7,Medium,18.502,0.039048799999999995,14.528839999999999,117.48769999999999,4.215317959999999,121.70301795999998,3113.163199416799,5535.488039999999,0.011063826666666665,14.848270493333331,68.18992204000003,818.2790644800003,1744.2982057832005,20931.578469398406,1017.7119600000005,12212.543520000007,2.850136173333336,0.16103913911647805,12860.078469398406,159.32699584214095,4.627362439082397,Moderate Business Case
P001,Invoice Approval,Finance,Accounts Payable,P001-S03,3,Manager Approval,Finance Manager,Email / ERP,414,8,60.42,0.0264,23,18.35,Medium,Medium,0.3551,0.3973,0.3524,8121.0,2026-07-08 17:38:06,55.2,4.18968,59.389680000000006,1089.8006280000002,25013.88,0.0101199999999999,60.563453333333335,0.0474294994905341,0.833323080163453,0.0963690884440545,0.022429906542056,0.2892355525408421,8,Medium,5.1592,0.01591128,39.127992,35.59848,2.525120136,38.123600136,699.5680624956001,16198.988688,0.006099324000000001,39.22007799066666,21.266079864000005,255.19295836800006,390.2325655044001,4682.790786052801,8814.891312000002,105778.69574400003,21.343375342666675,0.35241344685540843,-3438.209213947199,-42.33726405550054,20.81066706850336,Weak Business Case
P003,Customer Support Ticket Resolution,Customer Service,Support,P003-S01,1,Ticket Classification,Support Agent,CRM,1150,12,2.54,0.0824,6,17.22,High,Low,0.7323,0.5409,0.4638,3075.0,2026-07-08 17:38:06,230.0,9.476,239.476,4123.77672,2921.0,0.00824,2.74824,0.4510083248860919,0.0654517181705981,0.2650051838264615,0.3713395638629284,0.2861904005060431,9,Medium,3.2124000000000006,0.037829839999999997,1.361948,61.57100000000001,4.350431599999999,65.9214316,1135.167052152,1566.2402,0.0037829839999999992,1.419270984,173.5545684,2082.6548208,2988.609667848,35863.316014176,1354.7598,16257.117600000001,1.328969016,0.4835709457689285,32788.316014176,1066.286699648,1.028906529039708,Strong Business Case
P005,Document Control Renewal,Compliance,Quality,P005-S01,1,Document Expiration Review,Document Controller,Excel / ERP,209,29,13.57,0.0837,20,38.43,High,Low,0.7676,0.5746,0.5417,2604.5,2026-07-08 17:38:06,101.01666666666668,5.8311,106.84776666666669,4106.159673,2836.13,0.0278999999999999,14.081233333333332,0.4486649092098954,0.0625019333307613,0.148731158784592,0.3794392523364486,0.2624454178300775,10,Medium,6.739600000000001,0.035605979999999995,6.219131000000001,23.476273333333335,2.48054994,25.956823273333335,997.5207183942,1299.798379,0.011868659999999998,6.343326326666667,80.89094339333334,970.6913207200001,3108.6389546058,37303.6674552696,1536.331621,18435.979452,7.737907006666664,0.5495191240350631,34699.1674552696,1332.277498762511,0.8378264694075004,Strong Business Case
P006,Sales Order Entry,Sales Operations,Sales,P006-S02,2,Customer Data Check,Sales Coordinator,CRM / ERP,381,13,12.76,0.1018,18,25.58,High,Medium,0.7282,0.5997,0.5515,8071.5,2026-07-08 17:38:06,82.55,11.63574,94.18574,2409.2712292,4861.56,0.03054,13.007206666666669,0.2229451855832465,0.1328988074694516,0.3339019060531143,0.4922118380062306,0.2585126141065292,11,Medium,3.5334000000000003,0.04075054,5.72286,22.43709,4.657786722,27.094876722000002,693.08694654876,2180.40966,0.012225162000000001,5.793975162,67.090863278,805.090359336,1716.1842826512402,20594.211391814883,2681.1503400000006,32173.80408000001,7.213231504666669,0.5545565385035272,12522.711391814883,155.147263728116,4.7031662517796615,Moderate Business Case
P005,Document Control Renewal,Compliance,Quality,P005-S04,4,Final Release,Quality Manager,QMS,209,17,70.68,0.0466,19,38.43,Low,High,0.2894,0.0671,0.1229,15627.0,2026-07-08 17:38:06,59.21666666666667,3.084143333333333,62.30081,2394.2201283,14772.12,0.0147566666666666,70.97809000000001,0.2209430914869388,0.4773552660801853,0.0611019485870749,0.1482866043613707,0.2550000422161048,12,Medium,12.0802,0.04347314,61.99342800000001,42.079363333333326,2.8771973156666673,44.956560649,1727.68062574107,12956.626452000002,0.013766494333333332,62.20853116100001,17.344249351000002,208.13099221200002,666.53950255893,7998.474030707161,1815.4935479999986,21785.922575999983,8.769558838999998,0.12355304064958633,-7628.525969292839,-48.81631771480668,23.444972038425263,Weak Business Case
