process_id,process_name,process_category,department,step_id,step_order,step_name,owner_role,system_used,monthly_volume,manual_time_minutes_per_case,waiting_time_hours_per_case,error_rate,rework_time_minutes_per_error,cost_per_hour_usd,automation_feasibility,automation_complexity,automation_time_reduction_pct,automation_error_reduction_pct,automation_waiting_time_reduction_pct,automation_setup_cost_usd,data_generated_at,manual_hours_before,rework_hours_before,total_labor_hours_before,labor_cost_before_usd,waiting_hours_total,expected_rework_time_per_case_hours,cycle_time_before_per_case_hours,normalized_labor_cost,normalized_waiting_hours,normalized_rework_hours,normalized_error_rate,bottleneck_score,bottleneck_rank,bottleneck_severity,manual_time_minutes_after,error_rate_after,waiting_time_hours_after,manual_hours_after,rework_hours_after,total_labor_hours_after,labor_cost_after_usd,waiting_hours_after_total,expected_rework_time_after_per_case_hours,cycle_time_after_per_case_hours,monthly_labor_hours_saved,annual_labor_hours_saved,monthly_labor_cost_savings_usd,annual_labor_cost_savings_usd,monthly_waiting_hours_reduced,annual_waiting_hours_reduced,cycle_time_reduction_hours_per_case,cycle_time_reduction_pct,annual_net_benefit_usd,roi_pct,payback_months,roi_classification,normalized_annual_net_benefit,normalized_bottleneck_score,normalized_roi,normalized_payback_speed,normalized_waiting_reduction,automation_priority_score,automation_priority_rank,recommendation,implementation_phase,business_rationale
P005,Document Control Renewal,Compliance,Quality,P005-S01,1,Document Expiration Review,Document Controller,Excel / ERP,209,29,13.57,0.0837,20,38.43,High,Low,0.7676,0.5746,0.5417,2604.5,2026-07-08 17:14:22,101.01666666666668,5.8311,106.84776666666669,4106.159673,2836.13,0.0278999999999999,14.081233333333332,0.4486649092098954,0.0625019333307613,0.148731158784592,0.3794392523364486,0.2624454178300775,10,Medium,6.739600000000001,0.0356059799999999,6.219131000000001,23.47627333333333,2.48054994,25.95682327333333,997.5207183942,1299.798379,0.0118686599999999,6.343326326666667,80.89094339333334,970.69132072,3108.6389546058,37303.6674552696,1536.331621,18435.979452,7.737907006666664,0.5495191240350631,34699.1674552696,1332.277498762511,0.8378264694075004,Strong Business Case,1.0,0.3995672353180383,1.0,1.0,0.09951423334180261,0.7598432321636899,1,Automate This Step,Phase 1 - Immediate Automation,"This step has strong automation feasibility, manageable complexity, and a favorable financial case."
P003,Customer Support Ticket Resolution,Customer Service,Support,P003-S03,3,Escalation Review,Support Lead,CRM,1150,24,12.0,0.037,27,17.22,Medium,Medium,0.3532,0.3748,0.3712,9225.0,2026-07-08 17:14:22,460.0,19.1475,479.1475,8250.91995,13800.0,0.01665,12.41665,1.0,0.4435677694559112,0.5735305845761224,0.0884735202492211,0.611047475789381,1,High,15.5232,0.0231323999999999,7.5456,297.528,11.971016999999998,309.49901700000004,5329.5730727400005,8677.44,0.01040958,7.814729580000001,169.64848299999994,2035.7817959999995,2921.346877259999,35056.16252711999,5122.56,61470.72,4.60192042,0.3706249608388736,25831.16252711999,280.01260191999984,3.157790015218031,Strong Business Case,0.790491656627725,1.0,0.23809310831144906,0.8973791919582297,0.506840187762967,0.7200570162206384,2,Pilot This Step,Phase 2 - Pilot,This step has moderate feasibility and positive ROI. Test automation in a limited scope before full deployment.
P003,Customer Support Ticket Resolution,Customer Service,Support,P003-S01,1,Ticket Classification,Support Agent,CRM,1150,12,2.54,0.0824,6,17.22,High,Low,0.7323,0.5409,0.4638,3075.0,2026-07-08 17:14:22,230.0,9.476,239.476,4123.77672,2921.0,0.00824,2.74824,0.4510083248860919,0.0654517181705981,0.2650051838264615,0.3713395638629284,0.2861904005060431,9,Medium,3.2124000000000006,0.0378298399999999,1.361948,61.57100000000001,4.350431599999999,65.9214316,1135.167052152,1566.2402,0.0037829839999999,1.419270984,173.5545684,2082.6548208,2988.609667848,35863.316014176,1354.7598,16257.1176,1.328969016,0.4835709457689285,32788.316014176,1066.286699648,1.028906529039708,Strong Business Case,0.9548557625872252,0.4404656329893444,0.8074056983377426,0.9915478024835619,0.07889119781012886,0.7146755668445993,3,Automate This Step,Phase 1 - Immediate Automation,"This step has strong automation feasibility, manageable complexity, and a favorable financial case."
P003,Customer Support Ticket Resolution,Customer Service,Support,P003-S02,2,Initial Response,Support Agent,CRM / Email,1150,9,2.66,0.1131,15,17.22,High,Low,0.6073,0.508,0.4446,3075.0,2026-07-08 17:14:22,172.5,32.51625,205.01625,3530.379825,3059.0,0.028275,2.838275,0.3720748018076011,0.0702481162841539,1.0,0.5626168224299066,0.4356931388823926,3,Medium,3.5343000000000004,0.0556452,1.477364,67.74075,15.997995,83.73874500000001,1441.9811889,1698.9686000000002,0.0139113,1.5501803,121.277505,1455.33006,2088.3986361,25060.7836332,1360.0313999999998,16320.376799999998,1.2880946999999998,0.453830125692542,21985.7836332,714.9848335999999,1.4724200384187371,Strong Business Case,0.6996438314143497,0.6979693983323333,0.5530407436498365,0.9719295137427291,0.07948994927668361,0.6487320697264332,4,Automate This Step,Phase 1 - Immediate Automation,"This step has strong automation feasibility, manageable complexity, and a favorable financial case."
P002,Purchase Requisition Review,Procurement,Supply Chain,P002-S03,3,Supplier Review,Buyer,ERP / Supplier Portal,326,27,25.34,0.0781,31,30.87,Medium,Medium,0.5463,0.4638,0.3666,7989.0,2026-07-08 17:14:22,146.7,13.154643333333333,159.8546433333333,4934.7128397,8260.84,0.0403516666666666,25.830351666666665,0.5588788672817033,0.2510459102190737,0.3823556370789802,0.3445482866043614,0.3990747470207685,4,Medium,12.2499,0.04187722,16.050356,66.55779,7.053519755333332,73.61130975533332,2272.38113214714,5232.416056,0.0216365636666666,16.27615756366667,86.24333357799999,1034.920002936,2662.33170755286,31947.98049063432,3028.423944,36341.087328,9.554194102999997,0.3698824633243152,23958.98049063432,299.8996181078272,3.000753053173552,Strong Business Case,0.7462609914292464,0.6348978192590704,0.2524925762915115,0.9043255338378384,0.2689869677357957,0.5956487943510992,5,Pilot This Step,Phase 2 - Pilot,This step has moderate feasibility and positive ROI. Test automation in a limited scope before full deployment.
P003,Customer Support Ticket Resolution,Customer Service,Support,P003-S04,4,Case Closure,Support Agent,CRM,1150,9,3.53,0.0699,7,17.22,High,Low,0.6847,0.6868,0.4785,3075.0,2026-07-08 17:14:22,172.5,9.37825,181.87825,3131.943465,4059.5,0.008155,3.688155,0.3190748857609056,0.1050220026074332,0.2618869128319643,0.2934579439252337,0.2395788849537248,14,Low,2.8377000000000003,0.02189268,1.840895,54.38925000000001,2.937267900000001,57.32651790000001,987.162638238,2117.02925,0.002554146,1.8907441460000003,124.5517321,1494.6207852,2144.780826762,25737.369921144,1942.47075,23309.649,1.7974108539999998,0.4873468859090791,22662.369921144,736.9876397119999,1.4337129284405077,Strong Business Case,0.7156283142246364,0.36018188104327303,0.5689721784658445,0.9736416763799829,0.1456437574168519,0.5791390274200607,6,Automate This Step,Phase 1 - Immediate Automation,"This step has strong automation feasibility, manageable complexity, and a favorable financial case."
P002,Purchase Requisition Review,Procurement,Supply Chain,P002-S04,4,Approval Routing,Purchasing Manager,Email / ERP,326,19,91.44,0.0624,34,30.87,Medium,Medium,0.3407,0.3388,0.3175,7989.0,2026-07-08 17:14:22,103.23333333333332,11.527359999999998,114.76069333333334,3542.6626032000004,29809.44,0.0353599999999999,91.79202666666666,0.3737086542336704,1.0,0.3304445330568625,0.2467289719626168,0.5338962813875496,2,High,12.5267,0.04125888,62.4078,68.06173666666668,7.621890432,75.68362709866668,2336.35356853584,20344.9428,0.023380032,62.63995836533333,39.07706623466666,468.9247948159999,1206.3090346641602,14475.708415969922,9464.497200000002,113573.96640000002,29.15206830133333,0.3175882411573292,6486.7084159699225,81.19549901076383,6.6226810630031965,Moderate Business Case,0.33347516113580145,0.8671146543873385,0.09413684658815193,0.7441138875345846,1.0,0.5472656643853931,7,Pilot This Step,Phase 2 - Pilot,This step has moderate feasibility and positive ROI. Test automation in a limited scope before full deployment.
P002,Purchase Requisition Review,Procurement,Supply Chain,P002-S01,1,Request Intake,Buyer,Email / ERP,326,14,5.26,0.0576,30,30.87,High,Low,0.7518,0.6824,0.5109,2663.0,2026-07-08 17:14:22,76.06666666666666,9.3888,85.45546666666667,2638.010256,1714.76,0.0288,5.522133333333334,0.2533720000863277,0.0235270278771524,0.2622234627960763,0.216822429906542,0.180706365438557,17,Low,3.4748,0.01829376,2.572666,18.879746666666662,2.98188288,21.861629546666663,674.8685041056,838.689116,0.00914688,2.639726213333333,63.59383712,763.1260454400001,1963.1417518944,23557.7010227328,876.070884,10512.850608,2.8824071200000003,0.5219734740197026,20894.7010227328,784.630154815351,1.356499090007254,Strong Business Case,0.6738667922659312,0.25877975547001647,0.603468397719704,0.9770571380178763,0.024521425733621455,0.5365593693672678,8,Automate This Step,Phase 1 - Immediate Automation,"This step has strong automation feasibility, manageable complexity, and a favorable financial case."
P006,Sales Order Entry,Sales Operations,Sales,P006-S01,1,Order Intake,Sales Coordinator,Email / CRM,381,15,6.23,0.0569,16,25.58,High,Low,0.7867,0.5413,0.5083,2690.5,2026-07-08 17:14:22,95.25,5.78104,101.03104,2584.3740032,2373.63,0.0151733333333333,6.495173333333334,0.246237317660609,0.0464270483487356,0.1471342212297631,0.2124610591900311,0.1614071788102911,18,Low,3.1995000000000005,0.02610003,3.0632910000000004,20.316825,2.651763048,22.968588048,587.53648226784,1167.1138710000002,0.006960008,3.123576008000001,78.062451952,936.749423424,1996.83752093216,23962.05025118592,1206.516129,14478.193548,3.371597325333333,0.5190927404554766,21271.55025118592,790.6169950264233,1.347380531363426,Strong Business Case,0.6827699286753072,0.2255388043088055,0.6078032518329043,0.9774604865350958,0.06205359339805019,0.5356007623664438,9,Automate This Step,Phase 1 - Immediate Automation,"This step has strong automation feasibility, manageable complexity, and a favorable financial case."
P005,Document Control Renewal,Compliance,Quality,P005-S03,3,Revision Validation,Quality Analyst,QMS,209,29,41.24,0.0593,56,38.43,Medium,Medium,0.5323,0.4697,0.3579,7813.5,2026-07-08 17:14:22,101.01666666666668,11.567453333333331,112.58412,4326.6077316,8619.16,0.0553466666666666,41.77868,0.4779888609658472,0.2634998621904454,0.3317235292553898,0.2274143302180685,0.3468029153789684,6,Medium,13.5633,0.03144679,26.480204,47.245495,6.134220502666667,53.37971550266666,2051.38246676748,5534.362636,0.0293503373333333,26.735609337333333,59.204404497333336,710.452853968,2275.22526483252,27302.703177990243,3084.797364,37017.568368,15.043070662666668,0.3600657240168111,19489.203177990243,249.42987365444736,3.43416545199763,Strong Business Case,0.6406616319789085,0.54486472946205,0.2159492626865673,0.8851540556208779,0.2753898943424632,0.5319166222738765,10,Pilot This Step,Phase 2 - Pilot,This step has moderate feasibility and positive ROI. Test automation in a limited scope before full deployment.
