process_id,process_name,process_category,department,step_id,step_order,step_name,owner_role,system_used,monthly_volume,manual_time_minutes_per_case,waiting_time_hours_per_case,error_rate,rework_time_minutes_per_error,cost_per_hour_usd,automation_feasibility,automation_complexity,automation_time_reduction_pct,automation_error_reduction_pct,automation_waiting_time_reduction_pct,automation_setup_cost_usd,data_generated_at,manual_hours_before,rework_hours_before,total_labor_hours_before,labor_cost_before_usd,waiting_hours_total,expected_rework_time_per_case_hours,cycle_time_before_per_case_hours,normalized_labor_cost,normalized_waiting_hours,normalized_rework_hours,normalized_error_rate,bottleneck_score,bottleneck_rank,bottleneck_severity
P003,Customer Support Ticket Resolution,Customer Service,Support,P003-S03,3,Escalation Review,Support Lead,CRM,1150,24,12.0,0.037,27,17.22,Medium,Medium,0.3532,0.3748,0.3712,9225.0,2026-07-08 15:20:57,460.0,19.147499999999997,479.1475,8250.91995,13800.0,0.01665,12.41665,1.0,0.4435677694559112,0.5735305845761224,0.08847352024922119,0.611047475789381,1,High
P002,Purchase Requisition Review,Procurement,Supply Chain,P002-S04,4,Approval Routing,Purchasing Manager,Email / ERP,326,19,91.44,0.0624,34,30.87,Medium,Medium,0.3407,0.3388,0.3175,7989.0,2026-07-08 15:20:57,103.23333333333333,11.527359999999998,114.76069333333334,3542.6626032000004,29809.44,0.035359999999999996,91.79202666666666,0.37370865423367045,1.0,0.33044453305686255,0.24672897196261684,0.5338962813875496,2,High
P003,Customer Support Ticket Resolution,Customer Service,Support,P003-S02,2,Initial Response,Support Agent,CRM / Email,1150,9,2.66,0.1131,15,17.22,High,Low,0.6073,0.508,0.4446,3075.0,2026-07-08 15:20:57,172.5,32.51625,205.01625,3530.379825,3059.0,0.028275,2.838275,0.37207480180760116,0.07024811628415391,1.0,0.5626168224299066,0.4356931388823926,3,Medium
P002,Purchase Requisition Review,Procurement,Supply Chain,P002-S03,3,Supplier Review,Buyer,ERP / Supplier Portal,326,27,25.34,0.0781,31,30.87,Medium,Medium,0.5463,0.4638,0.3666,7989.0,2026-07-08 15:20:57,146.7,13.154643333333333,159.8546433333333,4934.7128397,8260.84,0.04035166666666667,25.830351666666665,0.5588788672817033,0.25104591021907374,0.38235563707898024,0.34454828660436143,0.3990747470207685,4,Medium
P001,Invoice Approval,Finance,Accounts Payable,P001-S02,2,Data Validation,AP Analyst,Excel / ERP,414,16,28.05,0.0991,28,18.35,High,Medium,0.6047,0.6263,0.358,8121.0,2026-07-08 15:20:57,110.4,19.14612,129.54612,2377.171302,11612.7,0.046246666666666665,28.36291333333333,0.21867526040195784,0.3675448593560523,0.5734865619267885,0.4753894080996885,0.37280552254781185,5,Medium
P005,Document Control Renewal,Compliance,Quality,P005-S03,3,Revision Validation,Quality Analyst,QMS,209,29,41.24,0.0593,56,38.43,Medium,Medium,0.5323,0.4697,0.3579,7813.5,2026-07-08 15:20:57,101.01666666666667,11.567453333333333,112.58412,4326.6077316,8619.16,0.05534666666666666,41.77868,0.4779888609658472,0.26349986219044547,0.33172352925538984,0.22741433021806856,0.34680291537896846,6,Medium
P006,Sales Order Entry,Sales Operations,Sales,P006-S03,3,Pricing Validation,Sales Analyst,Excel / ERP,381,29,17.2,0.0532,17,25.58,Medium,Medium,0.362,0.266,0.1553,8071.5,2026-07-08 15:20:57,184.15,5.74294,189.89294,4857.4614052,6553.2,0.015073333333333333,17.698406666666667,0.5486028986352003,0.19169430677970872,0.1459188133024962,0.18940809968847352,0.30711428417000297,7,Medium
P001,Invoice Approval,Finance,Accounts Payable,P001-S03,3,Manager Approval,Finance Manager,Email / ERP,414,8,60.42,0.0264,23,18.35,Medium,Medium,0.3551,0.3973,0.3524,8121.0,2026-07-08 15:20:57,55.2,4.18968,59.389680000000006,1089.8006280000002,25013.88,0.010119999999999999,60.563453333333335,0.047429499490534134,0.833323080163453,0.09636908844405455,0.022429906542056073,0.28923555254084216,8,Medium
P003,Customer Support Ticket Resolution,Customer Service,Support,P003-S01,1,Ticket Classification,Support Agent,CRM,1150,12,2.54,0.0824,6,17.22,High,Low,0.7323,0.5409,0.4638,3075.0,2026-07-08 15:20:57,230.0,9.476,239.476,4123.77672,2921.0,0.00824,2.74824,0.45100832488609194,0.06545171817059814,0.2650051838264615,0.3713395638629284,0.28619040050604316,9,Medium
P005,Document Control Renewal,Compliance,Quality,P005-S01,1,Document Expiration Review,Document Controller,Excel / ERP,209,29,13.57,0.0837,20,38.43,High,Low,0.7676,0.5746,0.5417,2604.5,2026-07-08 15:20:57,101.01666666666667,5.8311,106.84776666666667,4106.159673,2836.13,0.027899999999999998,14.081233333333333,0.4486649092098954,0.06250193333076134,0.14873115878459206,0.37943925233644865,0.2624454178300775,10,Medium
